Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2025,삼성,황동재,4,0,0,5.1,3.38,3.79,1.50,16.7,12.5,0.00,0.294,2.45,0.82,0.214,0.214,0.00,3.75,0.333,0.556
2025,삼성,이호성,23,3,1,22.0,7.36,3.95,1.45,29.2,14.6,0.82,0.320,9.00,1.55,0.270,0.362,4.09,1.18,0.158,0.289
2025,삼성,이승민,13,1,0,16.1,3.86,4.05,1.41,21.9,6.8,1.10,0.348,4.50,1.13,0.267,0.290,2.45,1.64,0.276,0.382
2025,삼성,송은범,5,0,0,6.0,4.50,4.63,2.00,7.1,10.7,0.00,0.409,5.06,1.69,0.368,0.429,0.00,9.00,0.500,0.600
2025,삼성,이상민,1,0,0,1.0,0.00,1.36,2.00,20.0,0.0,0.00,0.500,0.00,3.00,0.500,0.500,0.00,0.00,0.000,0.000
2025,삼성,김대호,3,0,0,7.0,6.43,8.45,2.57,15.0,25.0,1.29,0.333,4.50,2.00,0.308,0.421,7.71,3.00,0.125,0.533
2025,삼성,임창민,8,0,0,7.2,5.87,10.02,1.83,10.8,10.8,4.70,0.240,6.23,1.62,0.294,0.350,6.75,2.25,0.308,0.400
2025,삼성,양창섭,11,1,1,13.0,5.54,4.63,1.85,16.7,7.6,0.69,0.409,5.68,2.05,0.367,0.441,6.35,1.94,0.364,0.444
2025,삼성,정민성,1,0,1,1.0,36.00,10.26,3.00,0.0,0.0,0.00,0.600,99.99,99.99,1.000,1.000,9.00,1.00,0.333,0.500
2025,삼성,김재윤,21,1,2,19.2,6.86,5.57,1.22,15.0,6.3,1.83,0.254,3.27,1.00,0.220,0.256,7.56,1.44,0.290,0.343
2025,SSG,앤더슨,9,3,2,50.1,2.32,1.96,0.97,37.4,7.3,0.54,0.290,3.38,1.23,0.233,0.310,1.74,0.81,0.148,0.218
2025,SSG,화이트,6,4,0,35.1,2.29,3.66,0.88,26.3,8.0,1.02,0.186,2.12,0.94,0.148,0.235,1.59,0.76,0.153,0.206
2025,SSG,문승원,9,3,2,47.2,3.40,5.02,1.15,10.9,6.3,0.94,0.259,3.16,0.97,0.230,0.287,3.50,1.50,0.300,0.350
2025,SSG,조병현,21,3,1,21.2,1.25,2.83,1.02,25.0,4.8,0.83,0.286,0.00,0.97,0.200,0.256,3.12,1.15,0.265,0.286
2025,SSG,김광현,10,2,6,54.2,3.79,3.74,1.37,21.6,7.5,0.82,0.323,5.46,1.58,0.296,0.358,1.82,0.89,0.200,0.242
2025,SSG,이로운,23,2,1,22.2,0.79,2.74,1.32,24.5,13.8,0.00,0.304,0.71,1.03,0.190,0.271,0.93,1.76,0.257,0.395
2025,SSG,노경은,25,0,2,25.2,1.75,3.70,1.21,17.0,9.4,0.35,0.274,2.19,1.14,0.214,0.292,1.42,1.26,0.244,0.314
2025,SSG,김민,23,0,0,19.2,3.20,2.32,1.27,26.2,3.6,0.46,0.375,1.98,0.95,0.226,0.255,6.00,2.00,0.385,0.429
2025,SSG,박시후,11,0,0,15.0,1.80,4.10,1.27,18.0,11.5,0.60,0.262,2.08,1.85,0.278,0.381,1.80,1.10,0.206,0.289
2025,SSG,박기호,2,0,0,3.1,0.00,4.49,0.60,23.1,15.4,0.00,0.000,0.00,0.60,0.000,0.286,0.00,0.75,0.000,0.200
2025,SSG,한두솔,23,2,0,15.0,6.00,3.24,2.07,18.9,12.2,0.00,0.440,6.35,1.94,0.333,0.423,6.23,2.08,0.342,0.419
