Year,Team,Player,PA,AVG,OBP,SLG,wRC+,K%,BB%,BABIP,SB RAA,SB,SB%,RAVG,ROBP,RSLG,LAVG,LOBP,LSLG,UAVG,UOBP,USLG
2025,한화,이도윤,52,0.222,0.265,0.356,58.8,15.4,5.8,0.263,0.00,0,,0.265,0.306,0.441,0.091,0.154,0.091,0.250,0.250,0.500
2025,한화,허인서,1,1.000,1.000,2.000,761.2,0.0,0.0,1.000,,0,,1.000,1.000,2.000,,,,,,
2025,한화,이원석,27,0.087,0.222,0.087,-8.6,33.3,11.1,0.143,0.83,5,100.0,0.111,0.273,0.111,0.000,0.000,0.000,,,
2025,한화,최인호,32,0.269,0.406,0.346,121.6,21.9,15.6,0.368,0.17,1,100.0,0.238,0.360,0.333,0.400,0.571,0.400,0.000,0.000,0.000
2025,한화,김서현,0,,,,,,,,,0,,,,,,,,,,
2025,한화,정우주,0,,,,,,,,,0,,,,,,,,,,
2025,한화,김승일,0,,,,,,,,,0,,,,,,,,,,
2025,한화,조동욱,0,,,,,,,,,0,,,,,,,,,,
2025,한화,심우준,84,0.177,0.207,0.266,12.5,22.6,3.6,0.220,0.50,3,100.0,0.161,0.190,0.214,0.217,0.250,0.391,0.400,0.400,0.400
2025,한화,김태연,108,0.245,0.302,0.296,61.0,19.4,5.6,0.303,-0.10,2,66.7,0.254,0.324,0.328,0.226,0.250,0.226,0.250,0.250,0.250
2025,한화,권광민,3,0.000,0.000,0.000,-146.9,33.3,0.0,0.000,0.00,0,,0.000,0.000,0.000,,,,,,
2025,한화,임종찬,34,0.172,0.294,0.310,68.3,38.2,14.7,0.267,0.16,1,100.0,0.136,0.296,0.273,0.286,0.286,0.429,,1.000,
2025,한화,이재원,41,0.139,0.195,0.194,-7.9,19.5,7.3,0.167,-0.01,0,,0.120,0.185,0.120,0.182,0.214,0.364,0.000,0.000,0.000
2025,한화,이상혁,4,0.333,0.333,0.333,77.7,0.0,0.0,0.333,-0.70,1,33.3,0.333,0.333,0.333,,,,,,
2025,한화,황영묵,88,0.197,0.299,0.303,65.7,10.2,12.5,0.212,0.02,0,,0.208,0.309,0.354,0.179,0.281,0.214,0.500,0.500,0.500
2025,한화,안치홍,51,0.109,0.196,0.109,-26.8,19.6,9.8,0.139,0.17,1,100.0,0.172,0.250,0.172,0.000,0.105,0.000,0.250,0.250,0.250
2025,키움,카디네스,116,0.261,0.397,0.446,153.3,19.0,15.5,0.294,-0.27,1,50.0,0.233,0.368,0.383,0.313,0.450,0.563,0.125,0.222,0.125
2025,키움,송성문,144,0.214,0.306,0.389,94.1,11.8,11.8,0.210,0.68,4,100.0,0.238,0.330,0.464,0.167,0.255,0.238,0.222,0.300,0.333
2025,키움,이주형,107,0.237,0.336,0.333,99.4,30.8,7.5,0.345,0.01,0,,0.258,0.370,0.355,0.194,0.265,0.290,0.286,0.286,0.429
2025,키움,최주환,132,0.298,0.348,0.455,129.0,12.9,6.1,0.330,0.03,0,,0.316,0.357,0.519,0.262,0.333,0.333,0.167,0.444,0.333
2025,키움,오선진,48,0.275,0.370,0.425,137.4,14.6,8.3,0.313,0.01,0,,0.200,0.400,0.333,0.320,0.346,0.480,0.000,0.000,0.000
2025,키움,원성준,9,0.222,0.222,0.556,102.1,33.3,0.0,0.200,0.00,0,,0.667,0.667,1.667,0.000,0.000,0.000,,,
2025,키움,이용규,9,0.286,0.444,0.286,150.5,22.2,22.2,0.400,0.17,1,100.0,0.400,0.500,0.400,0.000,0.333,0.000,,,
2025,키움,박주홍,79,0.229,0.295,0.343,73.9,34.2,8.9,0.333,1.00,6,100.0,0.250,0.315,0.417,0.182,0.250,0.182,0.600,0.600,0.600
